author,year,title,journal,volume,issue,pages,first_page,last_page,doi,url,annotation,keywords,notes,raw_publication_info
"Winterowd, W. Ross",1980,Transferable and local writing skills,JAC: Journal of Advanced Composition,1,1,1-3,1,3,,,"Winterowd suggests that all writing skills fall into one of two categories: local skills and transferable skills. Local skills are defined as those skills that are domain-specific, such as knowledge of the genres of a particular field. Transferable skills, according to Winterowd, are the 'basics' of writing, including such issues as control of diction. Following Stephen Krashen's learning-acquisition theory, Winterowd asserts that the transferable skills, general skills that are important for competent writing across domains, must be acquired through modeling, practice, and feedback, while local skills can be taught. Two 'scenes' for writing instruction are suggested: a writing workshop (for acquistion) and a writing laboratory (for teaching local skills as well as editing). [Robin L. Snead, 'Transfer-Ability': Issues of Transfer and FYC, WPA-CompPile Research Bibliographies, No. 18]","academic, style, strategy, techcom, mode, community, syntax, flow, register, audience, organizational, MX, development, implicit, technique, imitation, advanced , skill-transfer, WAC, editing, genre, process",,"*JAC: Journal of Advanced Composition 01.1*, 1-3"
"Medlicott, Alex, Jr",1980,Cassette commentary,JAC: Journal of Advanced Composition,1,1,4-6,4,6,,,,"commenting, audiotape, pedagogy, response, audioresponse",,"*JAC: Journal of Advanced Composition 01.1*, 4-6"
"A reply to [Alex] Medlicott, Jr",1980,"A reply to [Alex] Medlicott, Jr.",JAC: Journal of Advanced Composition,1,1,7-8,7,8,,,,"commenting, audiotape, response, pedagogy, audioresponse",,"*JAC: Journal of Advanced Composition 01.1*, 7-8"
"Fulkerson, Richard",1980,Some theoretical speculations on the advanced composition curriculum,JAC: Journal of Advanced Composition,1,1,9-12,9,12,,,,"advanced, curriculum",,"*JAC: Journal of Advanced Composition 01.1*, 9-12"
"Gebhardt, Richard",1980,The subject is writing,JAC: Journal of Advanced Composition,1,1,13-17,13,17,,,,process,,"*JAC: Journal of Advanced Composition 01.1*, 13-17"
"Palumbo, Roberta M",1980,Writing for the pre-professional within the liberal arts curriculum,JAC: Journal of Advanced Composition,1,1,18-20,18,20,,,,"advanced, interdisciplinary, liberal arts, job-opportunity, pre-professional",,"*JAC: Journal of Advanced Composition 01.1*, 18-20"
"Hogan, Michael P",1980,Advanced composition: A survey,JAC: Journal of Advanced Composition,1,1,21-29,21,29,,,,"survey, advanced, data, genre, objectives, pedagogy, rhetorical, textbooks, pedagogy, major",,"*JAC: Journal of Advanced Composition 01.1*, 21-29"
"Sturm, Rita",1980,"Advanced composition, 1980: The state of the art",JAC: Journal of Advanced Composition,1,2,37-44,37,44,,,,"advanced, history",,"*JAC: Journal of Advanced Composition 01.2*, 37-44"
"Halpern, Jeanne W",1980,The structure of advanced composition,JAC: Journal of Advanced Composition,1,2,45-52,45,52,,,,"audience, bizcom, techcom, academic, keyhole, editing, arrangement",,"*JAC: Journal of Advanced Composition 01.2*, 45-52"
"Mathes, J. C",1980,A taxonomy of communication acts for the design of advanced writing courses,JAC: Journal of Advanced Composition,1,2,53-59,53,59,,,,"advanced, communicative, action, taxonomy, syllabus, communication-theory",,"*JAC: Journal of Advanced Composition 01.2*, 53-59"
"Stevenson, Dwight W",1980,Teaching rhetoric to students in upper division and professional degree program courses,JAC: Journal of Advanced Composition,1,2,60-68,60,68,,,,"advanced, techcom, upper-division, rhetoric, bizcom, pedagogy",,"*JAC: Journal of Advanced Composition 01.2*, 60-68"
"Spigelmire, Lynne",1980,"The best stylists: A survey of editors, and implications for the teaching of style",JAC: Journal of Advanced Composition,1,2,69-73,69,73,,,,"survey, editor, nonfiction, style, Joan Didion, John McPhee, data, ranking, implication, style",,"*JAC: Journal of Advanced Composition 01.2*, 69-73"
"Stone, William B",1980,Revision in advanced composition: A perspective,JAC: Journal of Advanced Composition,1,2,74-78,74,78,,,,"advanced, revising",,"*JAC: Journal of Advanced Composition 01.2*, 74-78"
"Hagaman, John",1980,Encouraging thoughtful revision in a Kinneavy-framed advanced composition course,JAC: Journal of Advanced Composition,1,2,79-85,79,85,,,,"advanced, Kinneavy, framework, theory, change, syllabus, rhetorical",,"*JAC: Journal of Advanced Composition 01.2*, 79-85"
"Coe, Richard M",1980,Outline later,JAC: Journal of Advanced Composition,1,2,86-88,86,88,,,,"arrangement, process, outline",,"*JAC: Journal of Advanced Composition 01.2*, 86-88"
"Gage, John",1981,Towards an epistemology of composition,JAC: Journal of Advanced Composition,2,1-2,1-10,1,10,,,,"composition-studies, epistemological",,"*JAC: Journal of Advanced Composition 02.1-2*, 1-10"
"Voss, Ralph F",1981,Calculators and quality: A paradox for writing teachers,JAC: Journal of Advanced Composition,2,1-2,11-22,11,22,,,,"evaluation, measurement, empirical, pedagogy, sentence combining, generative, Christensen, five-paragraph, paradox, quality",,"*JAC: Journal of Advanced Composition 02.1-2*, 11-22"
"Fishman, Judith",1981,Enclosures: The narrative within autobiography,JAC: Journal of Advanced Composition,2,1-2,23-30,23,30,,,,"autobiography, genre, enclosure, arrangement, narrative, embedded, narrative",,"*JAC: Journal of Advanced Composition 02.1-2*, 23-30"
"Koch, Richard",1981,Conversations with the oriental man: An approach to the imagination in writing class,JAC: Journal of Advanced Composition,2,1-2,31-44,31,44,,,,"pedagogy, imagination",,"*JAC: Journal of Advanced Composition 02.1-2*, 31-44"
"Stephens, Rory D",1981,Variations in composing style,JAC: Journal of Advanced Composition,2,1-2,45-52,45,52,,,,"process, variation, composing-style, interview, author-opinion, 'think-write', 'write-rewrite', revising, pre-writing, style, variation",,"*JAC: Journal of Advanced Composition 02.1-2*, 45-52"
"Knoblauch, C. H",1981,The rhetoric of the paragraph: A reconsideration,JAC: Journal of Advanced Composition,2,1-2,53-62,53,62,,,,"paragraph, arrangement, rhetoric",,"*JAC: Journal of Advanced Composition 02.1-2*, 53-62"
"Walpole, Jane R",1981,Ramus revisited: The uses and limits of classical rhetoric,JAC: Journal of Advanced Composition,2,1-2,63-68,63,68,,,,"pedagogy, Ramus, classical-rhetoric",,"*JAC: Journal of Advanced Composition 02.1-2*, 63-68"
"Woodman, Leonora",1981,A rhetorical model of prose styles: Notes toward a synthesis of rhetoric and poetics,JAC: Journal of Advanced Composition,2,1-2,69-78,69,78,,,,"style, prose, rhetoric, model, poetics, rhetoric, poetics, rhetorical model, style",,"*JAC: Journal of Advanced Composition 02.1-2*, 69-78"
"Beck, James P",1981,'Advanced composition' and occasion-sensitivity,JAC: Journal of Advanced Composition,2,1-2,79-88,79,88,,,,"advanced, contextual, rhetoric, situational, sensitivity",,"*JAC: Journal of Advanced Composition 02.1-2*, 79-88"
"Kaufer, David S.; Christine M. Neuwirth",1981,The irony game: Assessing a writer's adaptation to an opponent,JAC: Journal of Advanced Composition,2,1-2,89-102,89,102,,,,"audience-awareness, argumentation, irony",,"*JAC: Journal of Advanced Composition 02.1-2*, 89-102"
"Bloom, Lynn Z",1981,Why graduate students can't write: Implications of research in writing anxiety for graduate education,JAC: Journal of Advanced Composition,2,1-2,103-118,103,118,,,"The author proposes that graduate students experience writing anxiety just as frequently as undergraduates, though their anxiety manifests in different ways due to differences in workload, maturity, and expected responsibility. Her conclusions stem from case studies of ten graduate students ranging in age from 23 to 49 and majoring in areas such as business, history, law, sociology, and English. From these case studies, she suggests that the main causes of graduate-level writing anxiety include problems with choosing appropriate writing topics, clashes with advisors, length of time spent crafting a dissertation or undertaking research for it, and problems inherent to graduate education, such as self-imposed and unrealistic expectations of perfection. Because of these issues, graduate students may tend to procrastinate and become just as apprehensive about writing as their undergraduate counterparts. The author suggests that both graduate students and their faculty advisors capitalize on some of the advantages the average graduate student has, such as increased maturity and flexibility in schedule, to find better solutions for overcoming writing anxiety. Potential solutions include increased communication, firmer deadlines for drafts and research, and striving for more realistic expectations from graduate study to combat the feelings of insecurity many graduate students have.","anxiety, apprehension, graduate student, implication",,"*JAC: Journal of Advanced Composition 02.1-2*, 103-118"
"Olson, Gary A",1981,Incorporating sentence combining into the advanced composition class,JAC: Journal of Advanced Composition,2,1-2,119-126,119,126,,,,"sentence combining, advanced, pedagogy",,"*JAC: Journal of Advanced Composition 02.1-2*, 119-126"
"Schroeder, Melvin W.; Kenneth H. Sroka",1981,The Canisius Project: From field-work to classroom,JAC: Journal of Advanced Composition,2,1-2,127-138,127,138,,,,"academy-workplace, Canisius Project, data-collection, genre, teacher-worker, faculty-workshop, business, letter-writing, sample, novice-expert, fieldwork",,"*JAC: Journal of Advanced Composition 02.1-2*, 127-138"
"Shumaker, Arthur W",1981,How can a major in composition be established?,JAC: Journal of Advanced Composition,2,1-2,139-146,139,146,,,,"department, major, composition-studies",,"*JAC: Journal of Advanced Composition 02.1-2*, 139-146"
"Sledd, James",1981,"Linguistics, obeah, acupuncture, and the teaching of writing by that bastard Sled",JAC: Journal of Advanced Composition,2,1-2,147-152,147,152,,,,"pedagogy, linguistics",,"*JAC: Journal of Advanced Composition 02.1-2*, 147-152"
"Ward, Jay A",1981,Changes in the training of writing teachers,JAC: Journal of Advanced Composition,2,1-2,153-160,153,160,,,,"teacher-training, change",,"*JAC: Journal of Advanced Composition 02.1-2*, 153-160"
"Jobst, Jack",1981,The technical talk: More effective use of visual aids,JAC: Journal of Advanced Composition,2,1-2,161-164,161,164,,,,"techcom, visual-aid, graphic",,"*JAC: Journal of Advanced Composition 02.1-2*, 161-164"
"Rodman, Lilita",1981,The passive in technical and scientific writing,JAC: Journal of Advanced Composition,2,1-2,165-172,165,172,,,,"technical-writing, science-writing, active-passive",,"*JAC: Journal of Advanced Composition 02.1-2*, 165-172"
"Pelz, Karen",1982,James Britton and the pedagogy of advanced composition,JAC: Journal of Advanced Composition,3,1-2,1-9,1,9,,,,"advanced, James Britton, pedagogy, development, pedagogy",,"*JAC: Journal of Advanced Composition 03.1-2*, 1-9"
"Allen, Virginia",1982,Some implications of Kenneth Burke's 'way of knowing' for composition theory,JAC: Journal of Advanced Composition,3,1-2,10-23,10,23,,,,"Kenneth Burke, epistemological, theory, implication",,"*JAC: Journal of Advanced Composition 03.1-2*, 10-23"
"Clark, Wilma",1982,Writing for publication in an advanced course for undergraduates,JAC: Journal of Advanced Composition,3,1-2,24-36,24,36,,,,"advanced, publishing, undergraduate",,"*JAC: Journal of Advanced Composition 03.1-2*, 24-36"
"Hoffman, Eleanor M.; Kenneth S. Risdon",1982,Managing student writing: A cross-disciplinary venture,JAC: Journal of Advanced Composition,3,1-2,37-47,37,47,,,,"advanced, cross-disciplinary, student-writing",,"*JAC: Journal of Advanced Composition 03.1-2*, 37-47"
"Robertson, Linda R",1982,Assignments in the humanities: Writing-intensive course design,JAC: Journal of Advanced Composition,3,1-2,48-59,48,59,,,,"advanced, writing-intensive, WAC, syllabus",,"*JAC: Journal of Advanced Composition 03.1-2*, 48-59"
"Suchan, James; Craig Hawbaker",1982,On-line bibliographic searches in report writing courses,JAC: Journal of Advanced Composition,3,1-2,60-68,60,68,,,,"computer, internet, report-writing, bibliographic-search",,"*JAC: Journal of Advanced Composition 03.1-2*, 60-68"
"Catron, Douglas M",1982,The creation of metaphor: A case for figurative language in technical writing classes,JAC: Journal of Advanced Composition,3,1-2,69-78,69,78,,,,"techcom, metaphor, figurative, pedagogy, metaphoric",,"*JAC: Journal of Advanced Composition 03.1-2*, 69-78"
"Krupa, Gene H",1982,Invention and metaphor,JAC: Journal of Advanced Composition,3,1-2,79-83,79,83,,,,"invention, metaphor",,"*JAC: Journal of Advanced Composition 03.1-2*, 79-83"
"Krupa, Gene H",1982,Between writer and text,JAC: Journal of Advanced Composition,3,1-2,84-88,84,88,,,,"authorship, revising",,"*JAC: Journal of Advanced Composition 03.1-2*, 84-88"
"Roundy, Nancy; David Mair",1982,The composing process of technical writers: A preliminary study,JAC: Journal of Advanced Composition,3,1-2,89-101,89,101,,,,"technical-writing, composing, process, data, ethnographic, preliminary, process, technical-writer",,"*JAC: Journal of Advanced Composition 03.1-2*, 89-101"
"Winckel, Nance Van",1982,The role of preconscious thought in the composing process,JAC: Journal of Advanced Composition,3,1-2,102-115,102,115,,,,"composing, process, preconscious, cognitive, process",,"*JAC: Journal of Advanced Composition 03.1-2*, 102-115"
"Woodman, Leonora",1982,Teaching style: A process-centered view,JAC: Journal of Advanced Composition,3,1-2,116-125,116,125,,,,"style, pedagogy, process, style",,"*JAC: Journal of Advanced Composition 03.1-2*, 116-125"
"Hagaman, John",1982,"A comparative analysis of revisions made by advanced composition students in expressive, persuasive, and informative discourse",JAC: Journal of Advanced Composition,3,1-2,126-135,126,135,,,,"revising, advanced, data, contrast-group, mode, expressive, persuasive, informative, persuasive",,"*JAC: Journal of Advanced Composition 03.1-2*, 126-135"
"Bloom, Lynn Z",1982,Re-creating creators: Teaching students to edit autobiographical materials,JAC: Journal of Advanced Composition,3,1-2,136-152,136,152,,,,"autobiographical, self-evaluation, editing, pedagogy, materials",,"*JAC: Journal of Advanced Composition 03.1-2*, 136-152"
"Fortune, Ronald J",1982,Problem-solving and autobiographical writing,JAC: Journal of Advanced Composition,3,1-2,153-171,153,171,,,,"autobiography, problem-solving, genre",,"*JAC: Journal of Advanced Composition 03.1-2*, 153-171"
"Dicks, Bernice W",1982,"State of the art in advanced expository writing: One genus, many species",JAC: Journal of Advanced Composition,3,1-2,172-191,172,191,,,,"advanced, syllabus, expository, survey, data, maturity, deterioration, curriculum, paragraph, style, audience, sequence, pedagogy, expository",,"*JAC: Journal of Advanced Composition 03.1-2*, 172-191"
"Voss, Ralph F",1983,Composition and the empirical imperative,JAC: Journal of Advanced Composition,4,1-2,5-12,5,12,,,,"composition-studies, empirical, research-method, science, think-aloud, protocol-analysis, Emig, Linda Flower, John Hayes, Sondra Perl, vitalism, imagination, imperative",,"*JAC: Journal of Advanced Composition 04.1-2*, 5-12"
"Kirscht, Judith; Emily Golson",1983,Essay thinking: Empty and chaotic,JAC: Journal of Advanced Composition,4,1-2,13-24,13,24,,,,"essay, advanced, arrangement, WAC, criteria, diagnosis, empty thinking",,"*JAC: Journal of Advanced Composition 04.1-2*, 13-24"
"Brannon, Lil",1983,The teacher as philosopher: The madness behind our madness,JAC: Journal of Advanced Composition,4,1-2,25-32,25,32,,,,"pedagogy, philosophy, textbook, theory, madness, philosophy",,"*JAC: Journal of Advanced Composition 04.1-2*, 25-32"
"Mattot, Glenn",1983,"Linear composing, discourse analysis, and the outline",JAC: Journal of Advanced Composition,4,1-2,33-46,33,46,,,,"arrangement, discourse-analysis, outline, logical, composing, linear",,"*JAC: Journal of Advanced Composition 04.1-2*, 33-46"
"Spear, Karen L",1983,Thinking and writing: A sequential curriculum for composition,JAC: Journal of Advanced Composition,4,1-2,47-64,47,64,,,,"advanced, Benjamin Bloom, curriculum, sequence, cognitive, development, stage, theory, hierarchy, classifying, abstracting, hypothesis, relativism, egocentrism, authority, college-span, postformal operations, evaluation, complexity, process-product, praxis",,"*JAC: Journal of Advanced Composition 04.1-2*, 47-64"
"LeFevre, Karen B.; T. J. Larkin",1983,"Freud, Weber, and Durkheim: A philosophical foundation for writing in the humanities and social sciences",JAC: Journal of Advanced Composition,4,1-2,65-85,65,85,,,,"advanced, WAC, humanities, social-science, Freud, Weber, Durkheim, philosophy, technical-writing, philosophy, sciences-humanities, social",,"*JAC: Journal of Advanced Composition 04.1-2*, 65-85"
"Schafer, John C",1983,Linguistic descriptions of speaking and writing and their impact on composition theory,JAC: Journal of Advanced Composition,4,1-2,85-106,85,106,,,,"theory, linguistics, speak-write, contextual, imitation, advanced",,"*JAC: Journal of Advanced Composition 04.1-2*, 85-106"
"Long, Richard",1983,The role of audience in Chaim Perelman's New Rhetoric,JAC: Journal of Advanced Composition,4,1-2,107-118,107,118,,,,"universal audience, audience, presence, Perelman, New Rhetoric, belief, writer-reader",,"*JAC: Journal of Advanced Composition 04.1-2*, 107-118"
"Bloom, Lynn Z",1983,Autobiography and audience,JAC: Journal of Advanced Composition,4,1-2,119-133,119,133,,,,"autobiography, audience, assignment, text-analysis, editing, revising, writer-based, reader-based",,"*JAC: Journal of Advanced Composition 04.1-2*, 119-133"
"Spretnak, Charlene M",1983,Reading and writing for engineering students,JAC: Journal of Advanced Composition,4,1-2,133-138,133,138,,,,"engineering, WAC, techcom, reading, pedagogy, read-write, assignment",,"*JAC: Journal of Advanced Composition 04.1-2*, 133-138"
"Bjork, Robert E",1983,When we dead awaken: Reviving metaphor in medical writing,JAC: Journal of Advanced Composition,4,1-2,139-146,139,146,,,,"science-writing, medical, metaphor, revival, metaphoric-analysis",,"*JAC: Journal of Advanced Composition 04.1-2*, 139-146"
"Clark, Francelia",1983,Writing as learning and the superior student,JAC: Journal of Advanced Composition,4,1-2,147-160,147,160,,,,"write-to-learn, honors, advanced, curriculum, development, sequence, revising",,"*JAC: Journal of Advanced Composition 04.1-2*, 147-160"
"Griffin, C. W",1983,"Writing-across-the curriculum programs: Theory and practice, a selected bibliography",JAC: Journal of Advanced Composition,4,1-2,161-172,161,172,,,,"WAC, program, theory, pedagogy, bibliography, annotated",,"*JAC: Journal of Advanced Composition 04.1-2*, 161-172"
"Moore, Leslie; Linda Peterson",1983,Convention as transition: Linking the advanced composition course to the college curriculum,JAC: Journal of Advanced Composition,4,1-2,173-188,173,188,,,,"advanced, curriculum, convention, WAC, syllabus, FYC, interdisciplinary, art history, biology, philosophy",,"*JAC: Journal of Advanced Composition 04.1-2*, 173-188"
"Shelby, Annette N",1983,Developing content for an M.B.A. communications class,JAC: Journal of Advanced Composition,4,1-2,189-198,189,198,,,,"business-communication, MBA, syllabus, content, industry, management, organizational, crisis-management, crisis-analysis",,"*JAC: Journal of Advanced Composition 04.1-2*, 189-198"
"Anderson, Daryll",1984,Writing as illusion,JAC: Journal of Advanced Composition,5,1-2,5-14,5,14,,,,"composing, illusion, truth, originality, aim",,"*JAC: Journal of Advanced Composition 05.1-2*, 5-14"
"Miller, Susan",1984,The student's reader is always a fiction,JAC: Journal of Advanced Composition,5,1-2,15-30,15,30,,,,"audience, fictional, writer-reader, implied-reader, lit-crit",,"*JAC: Journal of Advanced Composition 05.1-2*, 15-30"
"Sudol, Ronald A",1984,Textbook reviewing and professional responsibility,JAC: Journal of Advanced Composition,5,1-2,31-36,31,36,,,,"review-writing, textbook, book-review, professional responsibility, ethical, CCCC",,"*JAC: Journal of Advanced Composition 05.1-2*, 31-36"
"Arrington, Phillip",1984,"Reading, responding, composing: A revisionary approach",JAC: Journal of Advanced Composition,5,1-2,37-50,37,50,,,,"read-write, response, composing, change, pedagogy, revisionary",,"*JAC: Journal of Advanced Composition 05.1-2*, 37-50"
"Kaufer, David S.; Erwin R. Steinberg",1984,On revising noun compounds: Four tests,JAC: Journal of Advanced Composition,5,1-2,51-64,51,64,,,,"text-analysis, syntax, compound noun, measurement, audience-analysis, efficiency",,"*JAC: Journal of Advanced Composition 05.1-2*, 51-64"
"Boiarsky, Carolyn",1984,A model for analyzing revision,JAC: Journal of Advanced Composition,5,1-2,65-78,65,78,,,,"revising, model, research-method, measurement, read-write, audience, style, heuristic, recursive, process",,"*JAC: Journal of Advanced Composition 05.1-2*, 65-78"
"Bergman, Charles A",1984,"Writing across the curriculum: Students as scholars, scholars as students",JAC: Journal of Advanced Composition,5,1-2,79-86,79,86,,,,"WAC, pedagogy, scholarship, academic, convention",,"*JAC: Journal of Advanced Composition 05.1-2*, 79-86"
"Neel, Jasper P",1984,"Readers, writers, and texts: Writing in the abyss",JAC: Journal of Advanced Composition,5,1-2,87-106,87,106,,,,"read-write, textuality, deconstruction, advanced, technology, value-free, ethical",,"*JAC: Journal of Advanced Composition 05.1-2*, 87-106"
"Houlette, Forrest",1984,"Linguistics, empirical research, and evaluating composition",JAC: Journal of Advanced Composition,5,1-2,107-114,107,114,,,"Houlette argues that the poor correlation of syntactic measures with holistic scores may not mean that syntactic measures are invalid criteria (he cites Faigley, 1980, “Names”). Rather it is possible that holistic scoring is inaccurate. Houlette reasonably argues that “Instead of questioning the ability of the variables to correlate with grades, [Faigley] could have questioned the ability of grades to correlate with variables” (p. 111). Houlette reports the findings from his dissertation [completed in 1982 at the University of Louisville; see Houlette, 1982] that given-new measures and words per sentence explain twenty-three percent of variance in paper grades: “What this study tells researchers in composition who adhere to humanistic methodologies is that the assumption of the validity of reliably assigned holistic scores is a dangerous assumption. It would seem that such scores can at some times be more valid than at other times. What this study tells researchers who follow the empirical tradition is that they need more fully to explore the relationships between holistic scores and external criteria” (p. 112). [Of course, that relationship had been already explored by many researchers; e.g., Slotnik, 1974; Thompson, 1976; Nold and Freeman, 1977; Howerton, Jackson, and Selden, 1977; Breland and Gaynor, 1979.] Houlette calls for “cross-training researchers” in both humanistic and empirical methodologies (p. 112). RHH [Rich Haswell & Norbert Elliot, Holistic Scoring of Written Discourse to 1985, WPA-CompPile Research Bibliographies, No. 27]","linguistics, discourse-analysis, empirical, evaluation, research-method, syntax, grading, holistic, sentence-length, hypothesis, interpretation, given-new, validity, humanistic-scientific, sentence-length, measurement, correlation",,"*JAC: Journal of Advanced Composition 05.1-2*, 107-114"
"Stacks, Don W.; Robert W. Boozer",1984,An experimental study of written communication apprehension and language choice in a business setting,JAC: Journal of Advanced Composition,5,1-2,115-130,115,130,,,,"apprehension, experiment, data, workplace, business, syntax, experimental, language choice",,"*JAC: Journal of Advanced Composition 05.1-2*, 115-130"
"Maimom, Elaine P",1984,Some uses of autobiography private writing in public places,JAC: Journal of Advanced Composition,5,1-2,131-138,131,138,,,,"autobiography, private-public, analysis, expository",,"*JAC: Journal of Advanced Composition 05.1-2*, 131-138"
"Papinchak, Robert Allen",1984,The exercist: Atavistic rhymes and rhythms,JAC: Journal of Advanced Composition,5,1-2,139-148,139,148,,,,"exercise, creative-writing, poetry, nursery rhyme",,"*JAC: Journal of Advanced Composition 05.1-2*, 139-148"
"Bogen, Don",1984,Beyond the workshop: Suggestions for a process-oriented creative writing course,JAC: Journal of Advanced Composition,5,1-2,149-162,149,162,,,,"workshopping, creative-writing, process, syllabus, process-product, imitation",,"*JAC: Journal of Advanced Composition 05.1-2*, 149-162"
"Coney, Mary B",1984,The implied author in technical discourse,JAC: Journal of Advanced Composition,5,1-2,163-172,163,172,,,,"authorship, implied-author, techcom, writer-reader, information",,"*JAC: Journal of Advanced Composition 05.1-2*, 163-172"
"Iyasere, Marla Mudar",1984,Beyond the mechanical: Technical writing revisited,JAC: Journal of Advanced Composition,5,1-2,173-180,173,180,,,,"techcom, MX, change, style, content",,"*JAC: Journal of Advanced Composition 05.1-2*, 173-180"
"Tebeaux, Elizabeth",1984,Training technical communication teachers in English graduate courses,JAC: Journal of Advanced Composition,5,1-2,181-190,181,190,,,,"technical-communication, teacher-training, graduate, syllabus, job market, employment",,"*JAC: Journal of Advanced Composition 05.1-2*, 181-190"
"Brand, Alice G",1985,Hot cognition: Emotions and writing behavior,JAC: Journal of Advanced Composition,6,1-2,5-16,5,16,,,,"composing, emotion, process, cognitive",,"*JAC: Journal of Advanced Composition 06.1-2*, 5-16"
"Crowley, Sharon",1985,"Rhetoric, literature, and the dissociation of sensibility",JAC: Journal of Advanced Composition,6,1-2,17-32,17,32,,,,"rhetoric, literature, dissociation, 'dissociation of sensibility', T. S. Eliot, bridging, lit-crit, composing, historiography",,"*JAC: Journal of Advanced Composition 06.1-2*, 17-32"
"Grady, Hugh H.; Susan Wells",1985,Toward a rhetoric of intersubjectivity: Introducing Jurgen Habermas,JAC: Journal of Advanced Composition,6,1-2,33-48,33,48,,,,"Habermas, rhetoric, writer-reader, langue-parole, intersubjectivity, discourse-community",,"*JAC: Journal of Advanced Composition 06.1-2*, 33-48"
"Horning, Alice S",1985,Propositional analysis and the teaching of reading with writing,JAC: Journal of Advanced Composition,6,1-2,49-64,49,64,,,,"read-write, proposition, discourse-analysis, quality, schema, coherence",,"*JAC: Journal of Advanced Composition 06.1-2*, 49-64"
"Schmidt, Jan Z",1985,The use and value of the meditation in an advanced composition course,JAC: Journal of Advanced Composition,6,1-2,65-78,65,78,,,,"advanced, meditation, pedagogy, descriptive, assignment",,"*JAC: Journal of Advanced Composition 06.1-2*, 65-78"
"Broadhead, Glenn J.; Richard R. Wright",1985,Problem/solution cases in technical writing,JAC: Journal of Advanced Composition,6,1-2,79-88,79,88,,,,"problem-solving, case-method, techcom, pedagogy, academy-workplace",,"*JAC: Journal of Advanced Composition 06.1-2*, 79-88"
"Mair, David; John Radovich",1985,Developing industrial cases for technical writing on campus,JAC: Journal of Advanced Composition,6,1-2,89-96,89,96,,,,"case-method, techcom, industry, assignment, chemical-engineering, simulation",,"*JAC: Journal of Advanced Composition 06.1-2*, 89-96"
"Meyers, G. Douglas",1985,Teaching critical thinking in the technical writing class,JAC: Journal of Advanced Composition,6,1-2,97-104,97,104,,,,"techcom, critical-thinking, pedagogy, process, skill, taxonomy, concept formation, hypothetical reasoning, translating, empathetic, critical comprehension, interpretation, evaluative, meta-analysis, meta, multiplicity, synthesis",,"*JAC: Journal of Advanced Composition 06.1-2*, 97-104"
"Olson, Gary A",1985,The generational cliche: Then you saw it; now they don't,JAC: Journal of Advanced Composition,6,1-2,105-116,105,116,,,,"cliche, reader-response, data, generational",,"*JAC: Journal of Advanced Composition 06.1-2*, 105-116"
"Meyer, Charles F",1985,Teaching punctuation to advanced writers,JAC: Journal of Advanced Composition,6,1-2,117-130,117,130,,,,"advanced, punctuation, pedagogy, critical-thinking, techcom, heuristic, hypothesis, collaborative, interpretation, evaluation, metasystem, multiplism",,"*JAC: Journal of Advanced Composition 06.1-2*, 117-130"
"Rutter, Russell",1985,Research writing in advanced composition: An essay in definition,JAC: Journal of Advanced Composition,6,1-2,131-138,131,138,,,,"advanced, term-paper, specialization",,"*JAC: Journal of Advanced Composition 06.1-2*, 131-138"
"Salerno, Douglas",1985,An interpersonal approach to writing negative messages,JAC: Journal of Advanced Composition,6,1-2,139-150,139,150,,,,"communicative, negative, writer-reader, interpersonal, audience-analysis, letter-writing",,"*JAC: Journal of Advanced Composition 06.1-2*, 139-150"
"Woolever, Kristin R",1985,Untangling the law: Verbal design in legal argument,JAC: Journal of Advanced Composition,6,1-2,151-166,151,166,,,,"legal-writing, style, law, readability, nominal, courtroom, verbal",,"*JAC: Journal of Advanced Composition 06.1-2*, 151-166"
"Golding, Alan; John Mascaro",1985,A survey of graduate writing courses offered at American institutions,JAC: Journal of Advanced Composition,6,1-2,167-180,167,180,,,,"curriculum, graduate, USA, survey, data, cross-disciplinary",,"*JAC: Journal of Advanced Composition 06.1-2*, 167-180"
"Kinneavy, James L",1987,The process of writing: A philosophical base in hermeneutics,JAC: Journal of Advanced Composition,7,1-2,1-9,1,9,,,,"process, hermeneutical, philosophy, interpretive, Heidegger, presupposition, aporia, dialectic, narrative, linear, forestructure, philosophy, process",,"*JAC: Journal of Advanced Composition 07.1-2*, 1-9"
"Anderson, Chris",1987,"Teaching students what not to say: Iser, Didion, and the rhetoric of gaps",JAC: Journal of Advanced Composition,7,1-2,10-23,10,23,,,,"pedagogy, advanced, Wolfgang Iser, Joan Didion, style, gap, reader-response, reader-response, implicit, logical, transition, essay, poetry",,"*JAC: Journal of Advanced Composition 07.1-2*, 10-23"
"Ronald, Kate",1987,The politics of teaching professional writing,JAC: Journal of Advanced Composition,7,1-2,23-30,23,30,,,,"techcom, political, pedagogy, software, write-to-learn, epistemological, workplace, business",,"*JAC: Journal of Advanced Composition 07.1-2*, 23-30"
"Wall, Susan V",1987,The languages of the text: What even good students need to know about re-writing,JAC: Journal of Advanced Composition,7,1-2,31-40,31,40,,,,"revising, advanced, epistemic, case-study, language, power",,"*JAC: Journal of Advanced Composition 07.1-2*, 31-40"
"Jacobi, Martin J",1987,Using the enthymeme as a heuristic in professional writing courses,JAC: Journal of Advanced Composition,7,1-2,41-51,41,51,,,,"heuristic, enthymeme, pedagogy, technical-communication, rhetoric, logic, letter-writing, memorandum-writing, arrangement",,"*JAC: Journal of Advanced Composition 07.1-2*, 41-51"
